team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity,quarter_Quarter1,quarter_Quarter2,quarter_Quarter3,quarter_Quarter4,quarter_Quarter5,department_finishing,department_sweing,month,day_of_week
8,0.8,1.0145521433347027,1108.0,0.7505889183804746,2.2594933683267695,0.0,0,0,59.0,0.940725424,1,0,0,0,0,0,1,1,3
1,0.75,-1.0167776647819042,1039.0,-1.0776823771579405,-0.8466712033405029,0.0,0,0,8.0,0.8865,1,0,0,0,0,1,0,1,3
11,0.8,-0.33387785980300894,968.0,-0.27109209971452214,0.7381066393468809,0.0,0,0,30.5,0.8005704920000001,1,0,0,0,0,0,1,1,3
12,0.8,-0.33387785980300894,968.0,-0.27109209971452214,0.7381066393468809,0.0,0,0,30.5,0.8005704920000001,1,0,0,0,0,0,1,1,3
6,0.8,0.9907832076861733,1170.0,-0.7908947229558362,0.7381066393468809,0.0,0,0,56.0,0.8003819440000001,1,0,0,0,0,0,1,1,3
7,0.8,0.9907832076861733,984.0,0.6430435480546854,0.35775995710190883,0.0,0,0,56.0,0.800125,1,0,0,0,0,0,1,1,3
2,0.75,-1.0167776647819042,1039.0,-1.0776823771579405,-0.8466712033405029,0.0,0,0,8.0,0.755166667,1,0,0,0,0,1,0,1,3
3,0.75,1.1900765912007638,795.0,0.69681623321758,0.5796288550781425,0.0,0,0,57.5,0.753683478,1,0,0,0,0,0,1,1,3
2,0.75,0.43952673860682434,733.0,0.42795280740310715,0.2309777296869181,0.0,0,0,55.0,0.753097531,1,0,0,0,0,0,1,1,3
1,0.75,1.1900765912007638,681.0,0.69681623321758,0.5796288550781425,0.0,0,0,57.5,0.7504278259999999,1,0,0,0,0,0,1,1,3
9,0.7,1.1900765912007638,872.0,0.69681623321758,0.5479332982243948,0.0,0,0,57.5,0.7211269570000001,1,0,0,0,0,0,1,1,3
10,0.75,0.38833210797922285,578.0,0.5713466345041593,0.5796288550781425,0.0,0,0,54.0,0.712205247,1,0,0,0,0,0,1,1,3
5,0.8,-0.33387785980300894,668.0,-0.27109209971452214,0.7381066393468809,0.0,0,0,30.5,0.7070459020000001,1,0,0,0,0,0,1,1,3
10,0.65,-1.0167776647819042,1039.0,-1.0776823771579405,-0.8466712033405029,0.0,0,0,8.0,0.705916667,1,0,0,0,0,1,0,1,3
8,0.75,-1.1118534073760207,1039.0,-1.0776823771579405,-0.8466712033405029,0.0,0,0,8.0,0.676666667,1,0,0,0,0,1,0,1,3
4,0.75,-1.0167776647819042,1039.0,-0.7191978094053102,-0.8466712033405029,0.0,0,0,18.0,0.593055556,1,0,0,0,0,1,0,1,3
7,0.8,-1.1118534073760207,1039.0,-1.0776823771579405,-0.8466712033405029,0.0,0,0,8.0,0.5407291670000001,1,0,0,0,0,1,0,1,3
4,0.65,0.7887472546736758,861.0,0.7864373751557375,-0.8466712033405029,0.0,0,0,60.0,0.52118,1,0,0,0,0,0,1,1,3
11,0.7,-0.9975796782965537,1039.0,-0.9342885500568884,-0.8466712033405029,0.0,0,0,12.0,0.436326389,1,0,0,0,0,1,0,1,3
4,0.8,-0.9975796782965537,1039.0,0.6071950912794224,-0.8466712033405029,0.0,0,0,20.0,0.9880246909999999,1,0,0,0,0,1,0,1,5
11,0.75,-1.1118534073760207,1039.0,0.32040743707731806,-0.8466712033405029,0.0,0,0,17.0,0.987880435,1,0,0,0,0,1,0,1,5
9,0.8,-0.9975796782965537,1039.0,-1.0776823771579405,-0.8466712033405029,0.0,0,0,8.0,0.9562708329999999,1,0,0,0,0,1,0,1,5
3,0.75,-1.0167776647819042,1039.0,-0.8984400932816253,-0.8466712033405029,0.0,0,0,8.0,0.945277778,1,0,0,0,0,1,0,1,5
1,0.8,-1.0167776647819042,1039.0,-1.0776823771579405,-0.8466712033405029,0.0,0,0,8.0,0.9029166670000001,1,0,0,0,0,1,0,1,5
1,0.8,1.1900765912007638,772.0,0.5175739493412648,0.7381066393468809,0.0,0,0,56.5,0.800725314,1,0,0,0,0,0,1,1,5
3,0.8,1.1900765912007638,913.0,0.5892708628917909,0.7381066393468809,0.0,0,0,54.5,0.8003229359999999,1,0,0,0,0,0,1,1,5
8,0.8,1.0145521433347027,1261.0,0.7505889183804746,0.7381066393468809,0.0,0,0,59.0,0.8003186440000001,1,0,0,0,0,0,1,1,5
12,0.8,1.0145521433347027,844.0,0.7505889183804746,1.1501488784456007,0.0,0,0,59.0,0.8003186440000001,1,0,0,0,0,0,1,1,5
11,0.8,-0.31559406315029426,1005.0,0.7505889183804746,0.7381066393468809,0.0,0,0,29.5,0.8002372879999999,1,0,0,0,0,0,1,1,5
5,0.8,-0.31559406315029426,659.0,0.7505889183804746,0.7381066393468809,0.0,0,0,31.5,0.800148649,1,0,0,0,0,0,1,1,5
6,0.8,0.9907832076861733,1152.0,0.6430435480546854,0.7381066393468809,0.0,0,0,56.0,0.800125,1,0,0,0,0,0,1,1,5
7,0.8,0.9907832076861733,1138.0,0.6430435480546854,0.35775995710190883,0.0,0,0,56.0,0.800125,1,0,0,0,0,0,1,1,5
10,0.75,0.38833210797922285,610.0,0.5713466345041593,0.928279980469367,0.0,0,0,54.0,0.787299691,1,0,0,0,0,0,1,1,5
2,0.8,-0.9975796782965537,1039.0,-1.0776823771579405,-0.8466712033405029,0.0,0,0,8.0,0.782447917,1,0,0,0,0,1,0,1,5
2,0.75,0.43952673860682434,944.0,0.6071950912794224,0.5796288550781425,0.0,0,0,55.0,0.75024303,1,0,0,0,0,0,1,1,5
10,0.7,-0.9975796782965537,1039.0,-1.0776823771579405,-0.8466712033405029,0.0,0,0,8.0,0.7018125,1,0,0,0,0,1,0,1,5
4,0.7,0.7887472546736758,544.0,2.7581024977952047,-0.8466712033405029,0.0,0,0,60.0,0.700134038,1,0,0,0,0,0,1,1,5
9,0.7,1.1900765912007638,1072.0,0.69681623321758,0.42115107080940417,0.0,0,0,57.5,0.699965217,1,0,0,0,0,0,1,1,5
8,0.8,-1.1118534073760207,1039.0,-1.0776823771579405,-0.8466712033405029,0.0,0,0,8.0,0.6283333329999999,1,0,0,0,0,1,0,1,5
7,0.8,-1.0167776647819042,1039.0,-1.0776823771579405,-0.8466712033405029,0.0,0,0,8.0,0.6253125,1,0,0,0,0,1,0,1,5
3,0.75,-0.9975796782965537,1039.0,-0.8984400932816253,-0.8466712033405029,0.0,0,0,8.0,0.9913888890000001,1,0,0,0,0,1,0,1,6
9,0.8,-1.0167776647819042,1039.0,-1.0776823771579405,-0.8466712033405029,0.0,0,0,8.0,0.9316458329999999,1,0,0,0,0,1,0,1,6
1,0.8,-1.0167776647819042,1039.0,-1.0776823771579405,-0.8466712033405029,0.0,0,0,8.0,0.915229167,1,0,0,0,0,1,0,1,6
6,0.8,-0.31559406315029426,539.0,0.7192215187021194,0.7381066393468809,0.0,0,0,31.0,0.879714482,1,0,0,0,0,0,1,1,6
4,0.8,-1.0167776647819042,1039.0,0.6071950912794224,-0.8466712033405029,0.0,0,0,20.0,0.8616790120000001,1,0,0,0,0,1,0,1,6
9,0.8,1.0145521433347027,1278.0,0.7505889183804746,1.0550622078843577,0.0,0,0,59.0,0.850569492,1,0,0,0,0,0,1,1,6
7,0.8,0.9907832076861733,1227.0,0.7326646899928431,1.0550622078843577,0.0,0,0,56.5,0.850436438,1,0,0,0,0,0,1,1,6
8,0.8,0.9907832076861733,1039.0,0.660967776442317,0.5796288550781425,0.0,0,0,56.5,0.8503451329999999,1,0,0,0,0,0,1,1,6
4,0.8,1.1900765912007638,878.0,-0.09184981583820692,0.7381066393468809,0.0,0,0,55.5,0.800598058,1,0,0,0,0,0,1,1,6
1,0.8,1.0145521433347027,1033.0,0.7505889183804746,1.1501488784456007,0.0,0,0,59.0,0.8003186440000001,1,0,0,0,0,0,1,1,6
2,0.8,1.1900765912007638,782.0,0.6251193196670539,0.7381066393468809,0.0,0,0,55.5,0.8002378379999999,1,0,0,0,0,0,1,1,6
12,0.8,-0.31559406315029426,1216.0,0.7192215187021194,0.7381066393468809,0.0,0,0,31.0,0.800030199,1,0,0,0,0,0,1,1,6
2,0.8,-1.0167776647819042,1039.0,-1.0776823771579405,-0.8466712033405029,0.0,0,0,8.0,0.7921041670000001,1,0,0,0,0,1,0,1,6
10,0.7,-1.0167776647819042,1039.0,-0.07392558745057541,-0.8466712033405029,0.0,0,0,18.0,0.759228395,1,0,0,0,0,1,0,1,6
11,0.75,0.38833210797922285,513.0,0.5713466345041593,0.5796288550781425,0.0,0,0,54.0,0.7503484570000001,1,0,0,0,0,0,1,1,6
3,0.75,0.43952673860682434,734.0,0.6071950912794224,0.5796288550781425,0.0,0,0,55.0,0.75024303,1,0,0,0,0,0,1,1,6
10,0.7,1.1900765912007638,1202.0,0.69681623321758,0.42115107080940417,0.0,0,0,57.5,0.699965217,1,0,0,0,0,0,1,1,6
8,0.8,-1.1118534073760207,1039.0,-1.0776823771579405,-0.8466712033405029,0.0,0,0,8.0,0.682708333,1,0,0,0,0,1,0,1,6
7,0.8,-1.1118534073760207,1039.0,-1.0776823771579405,-0.8466712033405029,0.0,0,0,8.0,0.667604167,1,0,0,0,0,1,0,1,6
5,0.7,2.7981365068070247,884.0,0.7147404616052115,-0.022586725143063313,0.0,0,0,58.0,0.603432184,1,0,0,0,0,0,1,1,6
11,0.75,-0.9975796782965537,1039.0,-1.0776823771579405,-0.8466712033405029,0.0,0,0,8.0,0.35038906999999975,1,0,0,0,0,1,0,1,6
1,0.8,-1.0167776647819042,1039.0,-0.7908947229558362,-0.8466712033405029,0.0,0,0,8.0,0.961059028,1,0,0,0,0,1,0,1,0
11,0.8,-1.0167776647819042,1039.0,-0.6475008958547841,-0.8466712033405029,0.0,0,0,10.0,0.9395138890000001,1,0,0,0,0,1,0,1,0
4,0.8,-1.0167776647819042,1039.0,-0.21731941455162757,-0.8466712033405029,0.0,0,0,16.0,0.893663194,1,0,0,0,0,1,0,1,0
3,0.75,-0.9975796782965537,1039.0,-0.7908947229558362,-0.8466712033405029,0.0,0,0,8.0,0.875390625,1,0,0,0,0,1,0,1,0
9,0.8,1.0145521433347027,1227.0,0.7505889183804746,1.5304955606905728,0.0,0,0,59.0,0.850569492,1,0,0,0,0,0,1,1,0
9,0.8,-1.1118534073760207,1039.0,-0.7908947229558362,-0.8466712033405029,0.0,0,0,8.0,0.8208333329999999,1,0,0,0,0,1,0,1,0
2,0.8,-1.0167776647819042,1039.0,-1.0776823771579405,-0.8466712033405029,0.0,0,0,8.0,0.804416667,1,0,0,0,0,1,0,1,0
7,0.8,0.9907832076861733,1255.0,0.660967776442317,0.7381066393468809,0.0,0,0,56.5,0.8006843659999999,1,0,0,0,0,0,1,1,0
8,0.8,0.9907832076861733,1047.0,0.660967776442317,0.35775995710190883,0.0,0,0,56.5,0.8006843659999999,1,0,0,0,0,0,1,1,0
1,0.8,1.0145521433347027,1138.0,0.7505889183804746,1.1501488784456007,0.0,0,0,59.0,0.8003186440000001,1,0,0,0,0,0,1,1,0
11,0.8,0.38833210797922285,678.0,0.06946823965047676,0.7381066393468809,0.0,0,0,55.0,0.800250962,1,0,0,0,0,0,1,1,0
6,0.8,-0.31559406315029426,712.0,0.7864373751557375,0.7381066393468809,0.0,0,0,32.0,0.8002460109999999,1,0,0,0,0,0,1,1,0
12,0.8,-0.31559406315029426,1037.0,0.7864373751557375,0.7381066393468809,0.0,0,0,32.0,0.8002460109999999,1,0,0,0,0,0,1,1,0
2,0.8,1.1900765912007638,757.0,0.69681623321758,0.7381066393468809,0.0,0,0,57.5,0.800076522,1,0,0,0,0,0,1,1,0
4,0.8,1.1900765912007638,759.0,0.69681623321758,0.7381066393468809,0.0,0,0,57.5,0.800076522,1,0,0,0,0,0,1,1,0
10,0.75,-1.1118534073760207,1039.0,-1.0776823771579405,-0.8466712033405029,0.0,0,0,8.0,0.763375,1,0,0,0,0,1,0,1,0
5,0.6,-1.1118534073760207,1039.0,-1.0776823771579405,-0.8466712033405029,0.0,0,0,8.0,0.759270833,1,0,0,0,0,1,0,1,0
10,0.75,1.1900765912007638,1083.0,0.7326646899928431,0.5796288550781425,0.0,0,0,58.5,0.7504,1,0,0,0,0,0,1,1,0
3,0.75,0.43952673860682434,944.0,0.6071950912794224,0.5796288550781425,0.0,0,0,55.0,0.75024303,1,0,0,0,0,0,1,1,0
7,0.8,-1.0167776647819042,1039.0,-1.0776823771579405,-0.8466712033405029,0.0,0,0,8.0,0.676666667,1,0,0,0,0,1,0,1,0
8,0.8,-1.1118534073760207,1039.0,-1.0776823771579405,-0.8466712033405029,0.0,0,0,8.0,0.6645833329999999,1,0,0,0,0,1,0,1,0
5,0.6,0.6324207932929647,666.0,0.7147404616052115,-0.11767339570430635,0.0,0,0,58.0,0.6000287360000001,1,0,0,0,0,0,1,1,0
4,0.8,-1.0167776647819042,1039.0,-0.03807713067531236,-0.8466712033405029,0.0,0,0,18.0,0.966781346,1,0,0,0,0,1,0,1,1
1,0.8,-1.0167776647819042,1039.0,-0.9342885500568884,-0.8466712033405029,0.0,0,0,8.0,0.936496212,1,0,0,0,0,1,0,1,1
3,0.75,-0.9975796782965537,1039.0,-0.8267431797310992,-0.8466712033405029,0.0,0,0,10.0,0.899166667,1,0,0,0,0,1,0,1,1
11,0.8,-0.9975796782965537,1039.0,-0.5578797539166265,-0.8466712033405029,0.0,0,0,15.0,0.888686869,1,0,0,0,0,1,0,1,1
9,0.8,-1.0167776647819042,1039.0,-0.9342885500568884,-0.8466712033405029,0.0,0,0,8.0,0.8581439390000001,1,0,0,0,0,1,0,1,1
1,0.8,1.0145521433347027,1187.0,1.8081183932507343,1.5304955606905728,0.0,0,0,59.0,0.850502311,1,0,0,0,0,0,1,1,1
9,0.8,1.0145521433347027,1305.0,1.8081183932507343,1.5304955606905728,0.0,0,0,59.0,0.850502311,1,0,0,0,0,0,1,1,1
10,0.75,-1.0167776647819042,1039.0,-0.9342885500568884,-0.8466712033405029,0.0,0,0,8.0,0.8096401520000001,1,0,0,0,0,1,0,1,1
2,0.8,-1.0167776647819042,1039.0,-0.9342885500568884,-0.8466712033405029,0.0,0,0,8.0,0.805909091,1,0,0,0,0,1,0,1,1
2,0.8,1.1900765912007638,716.0,1.7274593655063923,0.7381066393468809,0.0,0,0,57.5,0.800594466,1,0,0,0,0,0,1,1,1
4,0.8,1.1900765912007638,925.0,1.7274593655063923,0.7381066393468809,0.0,0,0,57.5,0.800594466,1,0,0,0,0,0,1,1,1
3,0.8,0.43952673860682434,963.0,1.593027652599156,0.7381066393468809,0.0,0,0,55.0,0.8002738290000001,1,0,0,0,0,0,1,1,1
12,0.8,-0.31559406315029426,1101.0,0.22182418094534467,0.7381066393468809,0.0,0,0,31.5,0.8001409690000001,1,0,0,0,0,0,1,1,1
7,0.8,0.9907832076861733,1035.0,1.6736866803434978,0.35775995710190883,0.0,0,0,56.5,0.800128721,1,0,0,0,0,0,1,1,1
8,0.8,0.9907832076861733,1083.0,1.6736866803434978,0.35775995710190883,0.0,0,0,56.5,0.800128721,1,0,0,0,0,0,1,1,1
6,0.8,-0.31559406315029426,910.0,-0.029115016481496604,0.35775995710190883,0.0,0,0,31.5,0.80007657,1,0,0,0,0,0,1,1,1
10,0.75,1.1900765912007638,1209.0,1.781232050669287,0.5796288550781425,0.0,0,0,58.5,0.750545455,1,0,0,0,0,0,1,1,1
11,0.75,0.38833210797922285,590.0,1.593027652599156,0.5796288550781425,0.0,0,0,55.0,0.7500578509999999,1,0,0,0,0,0,1,1,1
8,0.8,-1.1118534073760207,1039.0,-0.9342885500568884,-0.8466712033405029,0.0,0,0,8.0,0.681060606,1,0,0,0,0,1,0,1,1
5,0.65,0.6324207932929647,808.0,1.7543457080878397,0.2626732865406658,0.0,0,0,58.0,0.649983281,1,0,0,0,0,0,1,1,1
7,0.8,-1.1118534073760207,1039.0,-0.9342885500568884,-0.8466712033405029,0.0,0,0,8.0,0.61625,1,0,0,0,0,1,0,1,1
1,0.8,-1.0167776647819042,1039.0,-0.9342885500568884,-0.8466712033405029,0.0,0,0,8.0,0.951420455,1,0,0,0,0,1,0,1,2
9,0.8,-1.0167776647819042,1039.0,-0.9342885500568884,-0.8466712033405029,0.0,0,0,8.0,0.880530303,1,0,0,0,0,1,0,1,2
1,0.8,1.0145521433347027,1179.0,1.8081183932507343,1.5304955606905728,0.0,0,0,59.0,0.850502311,1,0,0,0,0,0,1,1,2
